"nationality_code","nationality","nationality_continent","nationality_group"
"ALGE","Algerian","Africa","Foreign Nationals"
"ANGOL","Angolan","Africa","Foreign Nationals"
"BENI","Beninese","Africa","Foreign Nationals"
"BURU","Burundian","Africa","Foreign Nationals"
"CAMER","Cameroonian","Africa","Foreign Nationals"
"CAVER","Cape Verdian","Africa","Foreign Nationals"
"CF","Central African","Africa","Foreign Nationals"
"CHAD","Chadian","Africa","Foreign Nationals"
"COMO","Comoran","Africa","Foreign Nationals"
"COND","Congolese (Congo, Democratic Republic)","Africa","Foreign Nationals"
"CONG","Congolese","Africa","Foreign Nationals"
"CONR","Congolese (Congo, Republic of)","Africa","Foreign Nationals"
"DJIB","Djiboutian","Africa","Foreign Nationals"
"EGYP","Egyptian","Africa","Foreign Nationals"
"EQUATO","Equatoguinean","Africa","Foreign Nationals"
"ERI","Eritrean","Africa","Foreign Nationals"
"ETHI","Ethiopian","Africa","Foreign Nationals"
"GABO","Gabonese","Africa","Foreign Nationals"
"GAMB","Gambian","Africa","Foreign Nationals"
"GHAN","Ghanaian","Africa","Foreign Nationals"
"GUIN","Guinean","Africa","Foreign Nationals"
"HV","Burkinabe","Africa","Foreign Nationals"
"IVOR","Ivorian","Africa","Foreign Nationals"
"KENY","Kenyan","Africa","Foreign Nationals"
"LIBE","Liberian","Africa","Foreign Nationals"
"LIBY","Libyan","Africa","Foreign Nationals"
"MARI","Mauritanian","Africa","Foreign Nationals"
"MAUR","Mauritian","Africa","Foreign Nationals"
"ML","Malian","Africa","Foreign Nationals"
"MLAW","Malawian","Africa","Foreign Nationals"
"MORO","Moroccan","Africa","Foreign Nationals"
"MOTS","Botswana","Africa","Foreign Nationals"
"MOZA","Mozambican","Africa","Foreign Nationals"
"NAMI","Namibian","Africa","Foreign Nationals"
"NIGER","Nigerien","Africa","Foreign Nationals"
"NIGERIA","Nigerian","Africa","Foreign Nationals"
"RWAN","Rwandan","Africa","Foreign Nationals"
"SENE","Senegalese","Africa","Foreign Nationals"
"SILE","Sierra Leonean","Africa","Foreign Nationals"
"SOAFR","South African","Africa","Foreign Nationals"
"SOMA","Somalian","Africa","Foreign Nationals"
"SUDAN","Sudanese","Africa","Foreign Nationals"
"SEYC","Seychellois","Africa","Foreign Nationals"
"STP","Sao Tomean","Africa","Foreign Nationals"
"SWAZI","Swazi","Africa","Foreign Nationals"
"TANZ","Tanzanian","Africa","Foreign Nationals"
"TOGO","Togolese","Africa","Foreign Nationals"
"TUNI","Tunisian","Africa","Foreign Nationals"
"UGAN","Ugandan","Africa","Foreign Nationals"
"WA","Sahrawi","Africa","Foreign Nationals"
"ZAM","Zambian","Africa","Foreign Nationals"
"ZIM","Zimbabwean","Africa","Foreign Nationals"
"AFGA","Afghan","Asia","Foreign Nationals"
"BANGL","Bangladeshi","Asia","Foreign Nationals"
"BHUT","Bhutanese","Asia","Foreign Nationals"
"BRUN","Bruneian","Asia","Foreign Nationals"
"BURM","Burmese","Asia","Foreign Nationals"
"CAMB","Cambodian","Asia","Foreign Nationals"
"CHINA","Chinese","Asia","Foreign Nationals"
"EATIM","East Timorese","Asia","Foreign Nationals"
"FILIP","Filipino","Asia","Foreign Nationals"
"INDI","Indian","Asia","Foreign Nationals"
"INDO","Indonesian","Asia","Foreign Nationals"
"JAP","Japanese","Asia","Foreign Nationals"
"KAZA","Kazakhstani","Asia","Foreign Nationals"
"KN","Kyrgyzstani","Asia","Foreign Nationals"
"LA","Laotian","Asia","Foreign Nationals"
"MALA","Malaysian","Asia","Foreign Nationals"
"MALD","Maldivian","Asia","Foreign Nationals"
"MONGO","Mongolian","Asia","Foreign Nationals"
"NEPA","Nepalese","Asia","Foreign Nationals"
"NKOR","North Korean","Asia","Foreign Nationals"
"PAKN","Pakistani","Asia","Foreign Nationals"
"SKOR","South Korean","Asia","Foreign Nationals"
"SING","Singaporean","Asia","Foreign Nationals"
"SRIL","Sri Lankan","Asia","Foreign Nationals"
"TAIW","Taiwanese","Asia","Foreign Nationals"
"THAI","Thai","Asia","Foreign Nationals"
"TU","Turkmen","Asia","Foreign Nationals"
"UZBE","Uzbekistani","Asia","Foreign Nationals"
"VIET","Vietnamese","Asia","Foreign Nationals"
"ARGEN","Argentine","Central and South America","Foreign Nationals"
"BELI","Belizean","Central and South America","Foreign Nationals"
"BOLI","Bolivian","Central and South America","Foreign Nationals"
"BRAZ","Brazilian","Central and South America","Foreign Nationals"
"CHIL","Chilean","Central and South America","Foreign Nationals"
"COLO","Colombian","Central and South America","Foreign Nationals"
"COSRI","Costa Rican","Central and South America","Foreign Nationals"
"ECUA","Ecuadorian","Central and South America","Foreign Nationals"
"FG","French Guyanese","Central and South America","Foreign Nationals"
"GUAT","Guatemalan","Central and South America","Foreign Nationals"
"GUYA","Guyanese","Central and South America","Foreign Nationals"
"HOND","Honduran","Central and South America","Foreign Nationals"
"MEXI","Mexican","Central and South America","Foreign Nationals"
"NICA","Nicaraguan","Central and South America","Foreign Nationals"
"PANA","Panamanian","Central and South America","Foreign Nationals"
"PARA","Paraguayan","Central and South America","Foreign Nationals"
"PERU","Peruvian","Central and South America","Foreign Nationals"
"SALV","Salividoran","Central and South America","Foreign Nationals"
"SURIN","Surinamese","Central and South America","Foreign Nationals"
"URUG","Uruguayan","Central and South America","Foreign Nationals"
"VENE","Venezuelan","Central and South America","Foreign Nationals"
"ALBA","Albanian","Europe","Foreign Nationals"
"ARME","Armenian","Europe","Foreign Nationals"
"AUST","Austrian","Europe","Foreign Nationals"
"AZERB","Azerbaijani","Europe","Foreign Nationals"
"BELA","Belarusian","Europe","Foreign Nationals"
"BELG","Belgian","Europe","Foreign Nationals"
"BOSNI","Bosnian, Herzegovinian","Europe","Foreign Nationals"
"BRIT","British","British","British"
"BULG","Bulgarian","Europe","Foreign Nationals"
"CROAT","Croat","Europe","Foreign Nationals"
"CYPR","Cypriot","Europe","Foreign Nationals"
"CZEC","Czech","Europe","Foreign Nationals"
"DANE","Danish","Europe","Foreign Nationals"
"DUTCH","Dutch","Europe","Foreign Nationals"
"ESTO","Estonian","Europe","Foreign Nationals"
"FINN","Finnish","Europe","Foreign Nationals"
"FREN","French","Europe","Foreign Nationals"
"GE","Georgian","Europe","Foreign Nationals"
"GERM","German","Europe","Foreign Nationals"
"GI","Gibraltarian","Europe","Foreign Nationals"
"GREE","Greek","Europe","Foreign Nationals"
"GL","Greenlandic","Europe","Foreign Nationals"
"HUNG","Hungarian","Europe","Foreign Nationals"
"ICE","Icelandic","Europe","Foreign Nationals"
"IRISH","Irish","Europe","Foreign Nationals"
"ITAL","Italian","Europe","Foreign Nationals"
"KOS","Kosovan","Europe","Foreign Nationals"
"LATV","Latvian","Europe","Foreign Nationals"
"LITHU","Lithuanian","Europe","Foreign Nationals"
"LUX","Luxembourgish","Europe","Foreign Nationals"
"MACE","Macedonian","Europe","Foreign Nationals"
"MALT","Maltese","Europe","Foreign Nationals"
"MOLD","Moldovan","Europe","Foreign Nationals"
"MNE","Montenegrin","Europe","Foreign Nationals"
"NORW","Norwegian","Europe","Foreign Nationals"
"POLE","Polish","Europe","Foreign Nationals"
"PORTU","Portuguese","Europe","Foreign Nationals"
"ROMA","Romanian","Europe","Foreign Nationals"
"RUSS","Russian","Europe","Foreign Nationals"
"SECR","Serb or Croat","Europe","Foreign Nationals"
"SLENE","Slovene","Europe","Foreign Nationals"
"SLOV","Slovak","Europe","Foreign Nationals"
"SPAN","Spanish","Europe","Foreign Nationals"
"SRB","Serb","Europe","Foreign Nationals"
"SWEDE","Swede","Europe","Foreign Nationals"
"SWIS","Swiss","Europe","Foreign Nationals"
"TURK","Turk","Europe","Foreign Nationals"
"UKRA","Ukrainian","Europe","Foreign Nationals"
"BAHR","Bahranian","Middle East","Foreign Nationals"
"EMIR","Emirian","Middle East","Foreign Nationals"
"IRAN","Iranian","Middle East","Foreign Nationals"
"IRAQ","Iraqi","Middle East","Foreign Nationals"
"ISRA","Israeli","Middle East","Foreign Nationals"
"JORD","Jordanian","Middle East","Foreign Nationals"
"KUWA","Kuwaiti","Middle East","Foreign Nationals"
"LEBA","Lebanese","Middle East","Foreign Nationals"
"OMAN","Omani","Middle East","Foreign Nationals"
"PSE","Palestinian","Middle East","Foreign Nationals"
"QUAT","Qatari","Middle East","Foreign Nationals"
"SAARA","Saudi Arabian","Middle East","Foreign Nationals"
"SYRI","Syrian","Middle East","Foreign Nationals"
"YEMIN","Yemenite","Middle East","Foreign Nationals"
"AMER","American","North America","Foreign Nationals"
"CANA","Canadian","North America","Foreign Nationals"
"MONA","Monacan","Oceania","Foreign Nationals"
"ASM","American Samoan","Oceania","Foreign Nationals"
"AUSI","Australian","Oceania","Foreign Nationals"
"CXR","Christmas Islander","Oceania","Foreign Nationals"
"FIJI","Fijian","Oceania","Foreign Nationals"
"GU","Guam","Oceania","Foreign Nationals"
"MAR","Marshallese","Oceania","Foreign Nationals"
"MICR","Micronesian","Oceania","Foreign Nationals"
"NFK","Norfolk Islander","Oceania","Foreign Nationals"
"NZEA","New Zealander","Oceania","Foreign Nationals"
"PALA","Palauan","Oceania","Foreign Nationals"
"PNGU","Papua New Guinean","Oceania","Foreign Nationals"
"SAMO","Samoan","Oceania","Foreign Nationals"
"SOLO","Solomon Islanders","Oceania","Foreign Nationals"
"TNGA","Tongan","Oceania","Foreign Nationals"
"TV","Tuvalunian","West Indies","Foreign Nationals"
"AB","Aruban","West Indies","Foreign Nationals"
"AG","Anguillan","West Indies","Foreign Nationals"
"AN","Antiguan, Barbudan","West Indies","Foreign Nationals"
"ANTIG","Antiguan, Barbudan","West Indies","Foreign Nationals"
"BAHA","Bahamian","West Indies","Foreign Nationals"
"BARB","Barbadian or Bajuns","West Indies","Foreign Nationals"
"BM","Bermudian","West Indies","Foreign Nationals"
"CUBA","Cuban","West Indies","Foreign Nationals"
"DOMI","Dominican","West Indies","Foreign Nationals"
"GLP","Guadeloupian","West Indies","Foreign Nationals"
"GREN","Grenadian","West Indies","Foreign Nationals"
"HAIT","Haitian","West Indies","Foreign Nationals"
"JAM","Jamaican","West Indies","Foreign Nationals"
"KY","Kittitian or Nevisian","West Indies","Foreign Nationals"
"MS","Montserratian","West Indies","Foreign Nationals"
"MTQ","Martiniquan","West Indies","Foreign Nationals"
"PRI","Puerto Rican","West Indies","Foreign Nationals"
"SH","Saint Helenan","West Indies","Foreign Nationals"
"STLU","Saint Lucian","West Indies","Foreign Nationals"
"SW","Saint Barthelemian","West Indies","Foreign Nationals"
"TRIN","Trinidadian, Tobagonian","West Indies","Foreign Nationals"
"VC","Vincentian","West Indies","Foreign Nationals"
"VG","Virgin Islander","West Indies","Foreign Nationals"
"REF","Not Recorded","Not Recorded","Not Recorded"
"STATE","Not Recorded","Not Recorded","Not Recorded"
"UNKNOWN","Not Recorded","Not Recorded","Not Recorded"
"","Not Recorded","Not Recorded","Not Recorded"
".","Not Recorded","Not Recorded","Not Recorded"
"""""","Not Recorded","Not Recorded","Not Recorded"
""" ""","Not Recorded","Not Recorded","Not Recorded"
